﻿group,item_no,col,width,name,intro,imgsrc,price,point,off,none_off,soryo,url,Column1
1,16035410,col-l,,KARCHER K5 プレミアム サイレント（西日本/60Hz地域用）,"ケルヒャー高圧洗浄機の最高峰「水冷サイレント」シリーズ。K5 プレミアム サイレントは、静音と信頼の証「水冷式モーター」を採用した高圧洗浄機です。
自転車/ガーデニング用品/庭・テラス・ベランダの家具/フェンスや庭の舗装/バイクやスクーター/軽自動車や普通乗用車/バルコニーやベランダ/窓や網戸/浴室　等のお掃除に！",https://shop.r10s.jp/ryouhinhyakka/cabinet/karcher/16035410_01.jpg,"87,780",none,,none,s02,https://item.rakuten.co.jp/ryouhinhyakka/16035410/,
1,p111560,col-l,,アイロボット 空気清浄機 Klaara p7 Pro グリーン グレー,"○独自の密閉技術と、継ぎ目のない密閉型ボディを採用。浄化された空気に汚れた空気が混ざることもありません。綺麗な空気だけを排出します。
○3つのフィルターで汚染物質を空気中から除去します。
・カビの胞子　・ペットのふけや毛　・料理のにおい　・花粉　・コロナなどのウイルス　・ホコリ　・VOC
○スマートモード
○スケジュール機能
○音声アシスタント対応",https://shop.r10s.jp/ryouhinhyakka/cabinet/irobot/p111560.jpg,"169,800",p10,,none,s02,https://item.rakuten.co.jp/ryouhinhyakka/p111560/,
1,4.91E+12,col-l,,Clip Fresh 密封容器 8pcsセット,"密閉性が高く、食材のおいしさを保ち、汁気の多い食品の持ち運びに便利
 密封容器8pcsセットは、ラインナップが豊富で、様々な用途に使用可能(4.2Lは小麦粉に、2Lはパスタに、980mlはコーヒー豆等に)",https://shop.r10s.jp/ryouhinhyakka/cabinet/sato_sh/cfboxsets.jpg,"2,750",none,,none,s02,https://item.rakuten.co.jp/ryouhinhyakka/10020359/,
2,16032000,col-l,,KARCHER K3 サイレント プラス（東日本/50Hz地域用）,"ケルヒャー高圧洗浄機の最高峰「水冷サイレント」シリーズ。
K3 サイレント プラスは、静音と信頼の証「水冷式モーター」を採用した高圧洗浄機です。
広い範囲もしっかり洗える10mの高圧ホースが付属し、様々な場所で多彩に活躍する高圧洗浄機です。
自転車/ガーデン家具/小型車/玄関、玄関まわり/バルコニーやベランダ/網戸や窓/浴室　等のお掃除に！",https://shop.r10s.jp/ryouhinhyakka/cabinet/karcher/16032000_01.jpg,"30,800",none,,none,s02,https://item.rakuten.co.jp/ryouhinhyakka/16032000/,
2,31371270,col-l,,KARCHER LTR 18-30 (刈払機) バッテリーセット,"LTR 18-30 は、コードレスで手持ちタイプのバッテリー駆動式のトリマー（刈払機）です。
高速回転するコードで、障害物は傷つけずに、伸びた草を切り落とし、手軽に芝生や雑草の刈り取りを行えます。折り畳み式のプラントプロテクターにより、花や植物を傷つけずに作業が行えます。
身長にあわせて長さを調整できる伸縮ポール、角度や向きを変更可能なカッティングヘッドでキワ刈り時や、植木の切り込みも簡単に行えます。",https://shop.r10s.jp/ryouhinhyakka/cabinet/karcher/31371270.jpg,"33,000",none,,none,s02,https://item.rakuten.co.jp/ryouhinhyakka/31371270/,
2,28632630,col-s,half,KARCHER スチームクリーナーアクセサリー スポットノズルセット,,https://shop.r10s.jp/ryouhinhyakka/cabinet/karcher/28632630.jpg,"1,600",none,,none,none,https://item.rakuten.co.jp/ryouhinhyakka/28632630/,
2,26431500,col-s,half,ケルヒャー 高圧洗浄機アクセサリー フォームノズル,,https://shop.r10s.jp/ryouhinhyakka/cabinet/karcher/26431500.jpg,"1,920",none,,none,,https://item.rakuten.co.jp/ryouhinhyakka/26431500/,
3,uw-4510,col-l,,キャプテンスタッグ 多機能ラジオ,"キャンプなどへの携帯や、停電時など災害時･緊急時に備えておける多機能ラジオ。
電池不要でLEDライトが使えます。ハンドルを手回しすることで発電して充電ができます。
ソーラーパネルで太陽光でも充電も可能です。",https://shop.r10s.jp/ryouhinhyakka/cabinet/captainstag/uw-4510.jpg,"3,960",none,,none,s02,https://item.rakuten.co.jp/ryouhinhyakka/uw-4510/,
3,ul-1079,col-l,,キャプテンスタッグ ハンディ コンテナ Lサイズ,"組立簡単。小物の持ち運びに便利な取っ手付きのコンテナです。
取っ手を倒して平らな状態にできるので、場所をとらずコンパクトに収納できます。",https://shop.r10s.jp/ryouhinhyakka/cabinet/captainstag/ul-1079.jpg,"2,200",none,,none,none,https://item.rakuten.co.jp/ryouhinhyakka/ul-1079/,
4,y05003595,col-s,,staub ピコ・ココット ラウンド ボルドー 24cm,,https://shop.r10s.jp/ryouhinhyakka/cabinet/y_yot/003/y05003595.jpg,"31,800",none,,none,,https://item.rakuten.co.jp/ryouhinhyakka/y05003595/,
4,y05063998,col-s,,ビタクラフト Vシリーズ フライパン 24.5cm,,https://shop.r10s.jp/ryouhinhyakka/cabinet/vitacraft/y05063998.jpg,"19,800",none,,none,,https://item.rakuten.co.jp/ryouhinhyakka/y05063998/,
